"SampleId","model","compartment"
"neutral_E7.17.Mer.ampl.1.20150621.T","neutral","Tissue"
"neutral_E7.17.Mer.ampl.2.20150621.T","neutral","Tissue"
"neutral_E7.17.Mer.ampl.3.20150621.T","neutral","Tissue"
"neutral_E7.17.Myc.elep.1.20150622.T","neutral","Tissue"
"neutral_E7.17.Pla.sine.1.20150622.T","neutral","Tissue"
"neutral_E7.17.Pla.sine.2.20150622.T","neutral","Tissue"
"neutral_E7.17.Pla.sine.3.20150622.T","neutral","Tissue"
"neutral_E7.19.Lob.hemp.1.20150619.T","neutral","Tissue"
"neutral_E7.19.Lob.hemp.1.20150621.T","neutral","Tissue"
"neutral_E7.19.Lob.hemp.2.20150619.T","neutral","Tissue"
"neutral_E7.3.Por.loba.1.20150619.T","neutral","Tissue"
"neutral_E7.3.Por.loba.2.20150619.T","neutral","Tissue"
"neutral_E7.3.Por.loba.4.20150619.T","neutral","Tissue"
"neutral_E7.5.Gal.astr.1.20150622.T","neutral","Tissue"
"neutral_E7.5.Gal.fasc.1.20150621.T","neutral","Tissue"
"neutral_E7.5.Gal.fasc.1.20150622.T","neutral","Tissue"
"neutral_E7.6.Acr.hyac.1.20150622.T","neutral","Tissue"
"neutral_E7.6.Acr.hyac.2.20150622.T","neutral","Tissue"
"neutral_E7.6.Acr.hyac.3.20150622.T","neutral","Tissue"
"neutral_E7.6.Mon.aequ.1.20150620.T","neutral","Tissue"
"neutral_E7.6.Mon.aequ.2.20150620.T","neutral","Tissue"
"neutral_E7.6.Mon.aequ.3.20150620.T","neutral","Tissue"
"neutral_E7.6.Mon.aequ.4.20150620.T","neutral","Tissue"
"neutral_E7.7.Pav.vari.1.20150623.T","neutral","Tissue"
"neutral_E7.7.Pav.vari.2.20150622.T","neutral","Tissue"
