# Constructed from biom file
#OTU ID	E1.10.Poc.dami.1.20140731.S	E1.10.Poc.dami.1.20140905.S	E1.10.Sty.pist.1.20140807.S	E1.10.Sty.pist.1.20140815.S	E1.14.Phy.lich.1.20140801.S	E1.15.Dip.heli.1.20140809.S	E1.15.Dip.heli.1.20140905.S	E1.17.Cau.furc.1.20140801.S	E1.17.Ech.lame.1.20140905.S	E1.17.Ech.mamm.1.20140728.S	E1.17.Ech.mamm.1.20140815.S	E1.17.Fav.sp.1.20140805.S	E1.17.Hyd.exes.1.20140803.S	E1.19.Lob.sp.1.20140809.S	E1.19.Sym.sp.1.20140815.S	E1.19.Sym.sp.1.20140905.S	E1.2.Tur.reni.1.20140730.S	E1.2.Tur.stel.1.20140805.S	E1.3.Por.cyli.1.20140801.S	E1.3.Por.cyli.1.20140815.S	E1.3.Por.loba.1.20140905.S	E1.4.Pac.rugo.1.20140728.S	E1.4.Pac.spec.1.20140801.S	E1.5.Gal.astr.1.20140728.S	E1.5.Gal.astr.1.20140807.S	E1.5.Gal.astr.1.20140814.S	E1.6.Acr.sp.1.20140726.S	E1.6.Acr.sp.1.20140905.S	E1.6.Mon.hisp.1.20140807.S	E1.7.Pav.vari.1.20140815.S	E1.7.Pav.veno.1.20140809.S	E1.7.Pav.veno.1.20140811.S	E10.10.Sty.pist.1.20150630.S	E10.10.Sty.pist.3.20150630.S	E10.17.Fav.abdi.2.20150630.S	E10.17.Fav.pali.1.20150630.S	E10.17.Gon.favu.1.20150629.S	E10.17.Gon.favu.1.20150630.S	E10.17.Gon.favu.2.20150630.S	E10.17.Mon.curt.3.20150629.S	E10.Aca.hill.1.20150629.S	E10.Aca.hill.2.20150629.S	E10.Aca.hill.3.20150629.S	E10.Acr.cyth.1.20150627.S	E10.Acr.cyth.3.20150627.S	E10.Acr.pali.2.20150627.S	E10.Acr.pali.3.20150627.S	E10.Cyp.micr.1.20150627.S	E10.Fav.abdi.1.20150629.S	E10.Mon.curt.2.20150629.S	E10.Poc.dami.2.20150628.S	E10.Por.hero.3.20150628.S	E10.Ser.cali.1.20150627.S	E10.Sty.pist.1.20150628.S	E3.10.Sty.pist.1.20150124.S	E3.10.Sty.pist.1.20150127.S	E3.10.Sty.pist.2.20150124.S	E3.14.Phy.lich.1.20150129.S	E3.15.Dip.heli.1.20150121.S	E3.15.Dip.heli.2.20150106.S	E3.15.Dip.heli.3.20150120.S	E3.17.Ech.horr.1.20150123.S	E3.17.Ech.mamm.1.20150123.S	E3.17.Ech.mamm.1.20150129.S	E3.19.Sym.sp.1.20150127.S	E3.19.Sym.sp.2.20150125.S	E3.2.Tur.reni.1.20150127.S	E3.3.Por.cyli.1.20150123.S	E3.3.Por.cyli.1.20150127.S	E3.3.Por.cyli.2.20150123.S	E3.4.Pac.rugo.1.20150128.S	E3.5.Gal.astr.1.20150124.S	E3.5.Gal.astr.2.20150124.S	E3.5.Gal.astr.2.20150127.S	E3.6.Acr.hyac.1.20150105.S	E3.6.Acr.hyac.1.20150106.S	E3.6.Acr.hyac.1.20150120.S	E3.6.Acr.hyac.1.20150121.S	E3.6.Acr.hyac.1.20150123.S	E3.6.Acr.hyac.2.20150105.S	E3.6.Acr.hyac.2.20150106.S	E3.6.Acr.hyac.2.20150120.S	E3.6.Acr.hyac.2.20150121.S	E3.6.Acr.hyac.2.20150123.S	E3.6.Acr.hyac.3.20150105.S	E3.6.Acr.hyac.3.20150120.S	E3.6.Acr.hyac.3.20150123.S	E3.6.Acr.hyac.4.20150105.S	E3.6.Acr.hyac.4.20150106.S	E3.7.Pav.vari.1.20150124.S	E3.7.Pav.vari.1.20150127.S	E7.10.Poc.dami.1.20150621.S	E7.10.Ser.cali.1.20150622.S	E7.10.Ser.cali.2.20150622.S	E7.17.Cyp.micr.1.20150621.S	E7.17.Cyp.micr.3.20150621.S	E7.17.Ech.lame.1.20150620.S	E7.17.Fav.abdi.1.20150623.S	E7.17.Fav.abdi.2.20150623.S	E7.17.Fav.spA.1.20150623.S	E7.17.Fav.spB.1.20150623.S	E7.17.Fav.spC.1.20150623.S	E7.17.Gon.edwa.1.20150623.S	E7.17.Hyd.exes.1.20150622.S	E7.17.Pla.sine.1.20150622.S	E7.17.Pla.sine.2.20150622.S	E7.17.Pla.sine.3.20150622.S	E7.19.Lob.hemp.1.20150619.S	E7.19.Lob.hemp.1.20150621.S	E7.19.Lob.hemp.2.20150619.S	E7.5.Gal.fasc.1.20150621.S	E7.6.Acr.hyac.1.20150622.S	E7.6.Acr.hyac.2.20150622.S	E7.6.Mon.aequ.1.20150620.S	E7.6.Mon.aequ.2.20150620.S	E7.6.Mon.aequ.3.20150620.S	E7.6.Mon.aequ.4.20150620.S	E7.7.Pav.vari.2.20150622.S	116-C161-S	121-PC2-S	124-PC3-S	1256-004-C118-S	1256-007-C119-S	1256-010-C120-S	1256-013-C121-S	1256-016-C122-S	1256-020-C123-S	1256-035-C133-S	1256-041-C143-S	1256-044-C144-S	1256-047-C145-S	1256-057-C150-S	1256-060-C151-S	1256-069-C327-S	1256-102-PW164-S	1256-114-PW168-S	1256-124-PW171-S	1256-127-PW172-S	1256-130-PW174-S	1256-135-PW176-S	1256-156-PW186-S	1256-162-PW190-S	1256-170-PW193-S	1256-179-PW197-S	1256-191-PW202-S	1256-194-PW203-S	1256-197-PW204-S	1256-204-HI7-S	1256-207-HI8-S	1256-210-HI10-S	1256-213-HI57-S	1256-220-HI59-S	1256-245-HI67-S	1256-249-HI68-S	1256-252-HI69-S	1256-289-P7-S	1256-292-P8-S	129-PC5-S	134-PC7-S	137-PC8-S	141-PC9-S	157-PC17-S	235-C318-S	238-C319-S	242-C320-S	251-C326-S	264-C330-S	273-C333-S	276-C334-S	282-C336-S	290-C337-S	293-C338-S	383-C440-S	386-C441-S	389-C442-S	63-C146-S	67-C147-S	88-C156-S
913149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
342224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2317377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	84.0	48.0	0.0	0.0	59.0	0.0	0.0	57.0	79.0	82.0	0.0	0.0	0.0	457.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
544033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	71.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
306254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	56.0	0.0	0.0	79.0	0.0	0.0	160.0	0.0	41.0	0.0	33.0	0.0	87.0	0.0	0.0	101.0	0.0	335.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	115.0	58.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	88.0	145.0	45.0	114.0	0.0
996434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	37.0	0.0	0.0	0.0	0.0	0.0	75.0	87.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
531374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
132661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
225370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
